text,label
Awanpanas guguran Merapi tanggal 13 April 2021 pukul 02:35 WIB tercatat di seismogram dengan amplitudo 31 mm dan durasi 92 detik. Jarak luncur 1300 m ke arah barat daya. MerapiSiaga sejak 5 November 2020,1
saya makmur kan mengacu kemari ada makna lain dari makmur,0
" Gempa Mag:5.2, 06-Feb-21 03:34:44 WIB, Lok:0.23 LS, 124.50 BT (Pusat gempa berada di laut 88 km Tengggara Bolaang Mongondow Selatan), Kedlmn:10 Km Dirasakan (MMI) II Kotamobagu BMKG ",1
oooo iya pantesan semalem gua mimpi kaya gempa oh jd ternyata itu lagi gempa beneran,0
" Gempa Magnitudo: 5.0, Kedalaman: 133 km, 07 Mar 2021 11:43:25 WIB, Koordinat: 4.59 LU-125.82 BT (114 km TimurLaut TAHUNA-KEP.SANGIHE-SULUT), Tidak berpotensi tsunami BMKG ",1
" Gempa Mag:4.3, 01-Mar-21 20:46:48 WIB, Lok:8.91 LS, 114.46 BT (Pusat gempa berada di laut 64 km barat daya Jembrana), Kedlmn:81 Km Dirasakan (MMI) II Jimbaran BMKG ",1
" Gempa Mag:5.4, 30-Jan-21 12:17:18 WIB, Lok:2.93 LS, 129.48 BT (Pusat gempa berada di darat 71 km timur laut Maluku Tengah), Kedlmn:13 Km Dirasakan (MMI) II-III Maluku Tengah , II Ambon BMKG ",1
" Gempa Mag:4.6, 25-Des-20 05:09:09 WIB, Lok:9.31 LS, 117.41 BT (Pusat gempa berada di laut 87 km Tenggara Sumbawa Barat), Kedlmn:86 Km Dirasakan (MMI) III Sumbawa Barat BMKG ",1
" Gempa Mag:4.7, 29-Nov-20 00:26:11 WIB, Lok:0.58 LU, 120.46 BT (Pusat gempa berada di darat 38 km Barat Daya Parigi Moutong), Kedlmn:10 Km Dirasakan (MMI) III Parigi Moutong BMKG ",1
" Gempa Mag:4.3, 06-Jan-21 03:10:47 WIB, Lok:0.45 LS, 131.71 BT (Pusat gempa berada di laut 69 km timur laut Sorong), Kedlmn:10 Km Dirasakan (MMI) II-III Sorong BMKG ",1
" Gempa Mag:3.6, 04/01/2021 03:32:13 (Pusat gempa di laut 21 km tenggara Bungku), Kedlmn:28 Km Dirasakan (MMI) II-III Bungku Tengah, BMKG",1
" Gempa Mag:4.1, 27-Feb-21 15:50:25 WIB, Lok:5.03 LS, 123.21 BT (Pusat gempa berada di laut 33.7 km Tenggara Buranga), Kedlmn:16 Km Dirasakan (MMI) III Ereke BMKG ",1
innalilahi wa innailaihi rojiun serem dentuman anak krakatau kedengeran sampe pandeglang tangsel anyer banten jaksel bekasi merapi bmkg semeru gempa walaupun merinding ga usah panik dan bilang ini dajjal selalu waspada dan berdoa,1
" Gempa Mag:3, 12/01/2021 08:06:10 (Pusat gempa di laut 8 km Tenggara Kairatu-SBB), Kedlmn:10 Km Dirasakan (MMI) II Kairatu, BMKG",1
india kini berada dalam kondisi kewalahan usai diserang lonjakan kasus harian covid 19 hingga memecahkan rekor dunia berikut updatenya,1
apapun yang terjadi pada alam saat ini itu sudah menjadi kehendak yang kuasa jangan dikaitkan dengan ramalan ramalan orang biasa tuhan sudah murka masa masih saja kalian tidak percaya pada kebesarannya ingattuhan krakatau merapi gempa bencana dentuman,0
" Gempa Mag:5.3, 18-Nov-20 11:41:59 WIB, Lok:1.81 LS,100.34 BT (57 km BaratDaya PESISIRSELATAN-SUMBAR), Kedlmn:11 Km, tdk berpotensi tsunami BMKG ",1
seumur umur setiap ada gempa ko gua gak pernah ngerasa ya dan kalo ada gunung meletus gua gak pernah denger juga apa karena badan gua yang gak peka atau karena emang banyak dosa,0
" Gempa Mag:2.6, 31/10/2020 05:25:05 (Pusat gempa di darat 21 km barat daya Kab. Purwakarta), Kedlmn:3 Km Dirasakan (MMI) II Bandung Barat, BMKG",1
"Banjir di Kota Pekalongan, Jawa Tengah, 7 Februari 2020 Pkl. 20.00 WIB. Kronologis: Akibat Hujan dengan intensitas tinggi sejak sore Lokasi: kelurahan Tirto, Kec. Pekalongan Barat, Kota Pekalongan. Dampak terdapat pengungsi sebanyak 267 orang. banjir bpbd ",1
"Info Gempa Magnitudo:5.3 SR, 18-Jul-16 12:32:01 WIB, Lok:8.32 LS,129.26 BT (249 km BaratDaya MALUKUTENGGARABRT), Kedlmn:10 Km ::BMKG",1
" Gempa Mag:5.2, 05/11/2020 05:21:49 (Pusat gempa di Laut 74 km BaratDaya Bayah), Kedlmn:10 Km Dirasakan (MMI) IV Panggarangan, II-III Sukabumi, II Pelabuhan Ratu , BMKG",1
" Gempa Mag:5.1, 24-Nov-20 15:33:29 WIB, Lok:2.31 LS,128.03 BT (85 km BaratLaut SERAMBAGIANBARAT-MALUKU), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
ga bisa ga panik kalo malem gini kena gempa masih dikatain overact,0
" Gempa Magnitudo:4.1, 17-Jun-21 19:22:00 WIB, Lok:0.78 LS, 134.25 BT (Pusat gempa berada di laut 50 km timur laut Pegunungan Arfak), Kedlmn:12 Km Dirasakan (MMI) II - III Manokwari BMKG ",1
Tanggal 19022018 jam 08:54 wib. Terjadi awan panas letusan gunungapi sinabung dengan tinggi kolom 5000 m. amp...,1
" Info Gempa Magnitudo:5.7 SR, 25-Jul-15 04:44:39 WIB, Lok:8.49 LS,108.96 BT (111 km Tenggara CIAMIS-JABAR), Kedlmn:10 Km ::BMKG",1
"Info Gempa Magnitudo:5.0 SR, 26-Jul-16 04:33:32 WIB, Lok:2.64 LS,139.55 BT (43 km Tenggara SARMI-PAPUA), Kedlmn:13 Km ::BMKG",1
"11. Tanggal 26 Januari 2021 pukul 23:29 WIB, awanpanas guguran tercatat di seismogram dgn amplitudo 60 mm dan durasi 158 detik, tinggi kolom tak teramati, cuaca berkabut, mendung, hujan, estimasi jarak luncur 1500 m ke arah barat daya: hulu Kali Krasak dan Boyong. MerapiSiaga",1
Terjadi awanpanas letusan di Gunung Merapi pada tanggal 22 September 2019 pukul 11:36 WIB. Awanpanas terekam di seismogram dengan amplitudo 70 mm dan durasi 125 mm. Terpantau kolom setinggi ?800 m dari puncak. statuswaspada sejak 21 Mei 2018,1
kalau pencilbox rembat punya mestilah mampu hahahaha and taklah ios developers dh kekeringan idea rasanya it was better kalau tak tiru idea dari os lain kalau ada widget tu rasa nnt mcm guna first phone touchscreen android but feel slightly better with animation and so on,0
"Angin Puting Beliung terjadi di Kab. Lampung Timur, Prov. Lampung (4/6) pukul 08.00 WIB tepatnya di Kec. Braja Selebah, Ds. Braja Indah yang disebabkan hujan dengan intensitas tinggi serta angin kencang. InfoBencanaBNPB ",1
Awanpanas guguran Merapi tanggal 30 Maret 2021 pukul 7.06 WIB tercatat di seismogram dengan amplitudo 60 mm dan durasi 135 detik. Jarak luncur ?1500 m ke arah barat daya.Angin bertiup ke utara. MerapiSiaga sejak 5 November 2020 mbg,1
" Gempa Magnitudo: 5.7, Kedalaman: 133 km, 05 Mei 2021 05:59:12 WIB, Koordinat: 1.53 LU-127.19 BT (48 km BaratLaut HALMAHERABARAT-MALUT), Tidak berpotensi tsunami BMKG ",1
" Gempa Magnitudo: 5.1, Kedalaman: 23 km, 14 Mei 2021 15:17:43 WIB, Koordinat: 4.27 LU-127.83 BT (131 km TimurLaut MELONGUANE-SULUT), Tidak berpotensi tsunami BMKG ",1
bantuan senilai rp2 4 juta diberikan secara bertahap hari ini untuk satu juta pelaku usaha mikro dan kecil sampai nanti totalnya untuk 12 juta pelaku usaha dana bantuan langsung ditransfer kepada rekening penerima langsung tanpa melalui pihak lain,0
" Gempa Mag:5.0, 20-Jan-21 03:10:57 WIB, Lok:9.04 LS,110.51 BT (116 km BaratDaya GUNUNGKIDUL-DIY), Kedalaman:17 Km, tidak berpotensi tsunami BMKG",1
bandung yang gua takutin dari thread itu adalah ada kata kata retakan tanah gempa dan bandung you know what i mean sesar lembang,0
kekeringan warga gunungkidul jual ternak untuk beli air,0
ada internal solitary wave ini juga berdasarkan beberapa pakar ahli oseanografi itu ada arus bawah laut yang cukup kuat yang bisa menarik secara vertikal krinanggala,1
" Gempa Mag:3.3, 21-Jan-21 14:35:00 WIB, Lok:8.38 LS, 120.53 BT (Pusat gempa berada di darat 26 km timur laut Ruteng-Kab. Manggarai), Kedlmn:30 Km Dirasakan (MMI) II Ruteng BMKG ",1
Awanpanas guguran Merapi tanggal 3 April 2021 pukul 22.56 WIB tercatat di seismogram dengan amplitudo 37 mm dan durasi 131 detik. Jarak luncur ?1300 m ke arah barat daya. MerapiSiaga sejak 5 November 2020,1
" Gempa Mag:4.8, 02/12/2020 10:33:51 (Pusat gempa di laut, 60 km Tenggara Bulukumba), Kedlmn:10 Km Dirasakan (MMI) II Bulukumba, III Selayar, BMKG",1
" Gempa Dirasakan Magnitudo: 3.4, Kedalaman: 5 km, 04 Mei 2021 19:04:33 WIB, Koordinat: 5.76 LU-95.22 BT (Pusat gempa berada di laut 18 km barat daya Kota Sabang), Dirasakan (MMI): II Sabang BMKG ",1
uang peringatan kemerdekaan 75 tahun ri upk 75 tahun ri dapat menjadi uang lebaran pasalnya pecahan uang rp 75 000 ini bukanlah sekedar uang koleksi upk 75 tahun ri juga sah untuk transaksi dalam negeri videokompas money,0
" Gempa Mag:4.8, 26-Mei-21 00:26:15 WIB, Lok:3.48 LS, 129.07 BT (Pusat gempa berada di laut 23 km tenggara Masohi, Maluku Tengah), Kedlmn:10 Km Dirasakan (MMI) III Amahai, III Masohi, III Nusa Laut, III Saparua BMKG ",1
di pasar tanah abang kira kira ada lebih dari 20 pintu nanti akan kami ringkas jadi beberapa pintu strategis kata marullah kepada wartawan,0
" Gempa Mag:3.6, 25-Okt-20 21:25:15 WIB, Lok:0.73 LS, 119.86 BT (Pusat gempa berada di darat 19 km Utara Palu), Kedlmn:10 Km Dirasakan (MMI) III Palu BMKG ",1
ya allah inget gempa waktu itu wkwk yang kejadian langsung aja gua gaberasa apalagi ini suara doang,0
" Gempa Mag:4.9, 27/01/2021 10:13:26 (Pusat gempa di Laut 44km Barat Daya Kupang), Kedlmn:10 Km Dirasakan (MMI) II-III Kupang, II-III Kab. Kupang, BMKG",1
"Cuaca ekstrem berupa angin puting beliung melanda pemukiman warga di wilayah Kabupaten Banyuwangi, Provinsi Jawa Timur, pada hari Rabu (17/3), pukul 13.30 WIB. Fenomena ini mengakibatkan kerusakan rumah warga setempat. Selengkapnya : InfoBencanaBNPB ",1
"Angin puting beliung terjadi di Kab. Singkawang, Provinsi Kalimantan Barat (31/8) pada pukul 16.00 WIB yang menyebabkan dua unit rumah rusak ringan. InfoBencanaBNPB PusdalopsBNPB ",1
Awanpanas guguran Merapi tanggal 9 April 2021 pukul 17:26 WIB tercatat di seismogram dengan amplitudo 20 mm dan durasi 111 detik. Jarak luncur 1300 m ke arah barat daya. Angin bertiup ke timur. MerapiSiaga sejak 5 November 2020,1
" Gempa Mag:3.0, 30-Mei-21 21:06:17 WIB, Lok:5.88 LU, 95.24 BT (Pusat gempa berada di darat 8 km BaratDaya Kota Sabang), Kedlmn:10 Km Dirasakan (MMI) II Sabang BMKG ",1
"Info Gempa Magnitudo:5.1 SR, 08-Dec-15 13:07:56 WIB, Lok:11.59 LS,104.47 BT (563 km BaratDaya KAB-SUKABUMI-JABAR), Kedlmn:10 Km ::BMKG",1
" Gempa Dirasakan Magnitudo: 4.9, Kedalaman: 10 km, 11 Mei 2021 03:44:33 WIB, Koordinat: 2.40 LU-96.10 BT (Pusat gempa berada di laut 30 km Barat Daya Sinabang), Dirasakan (MMI): II-III Sinabang BMKG ",1
id jadi biar presiden lebih gampang dlm mengatasi banjir seperti yg telah beliau buktikan di dki yg tidak ada banjir lg,0
aku gak perlu ramalan cuaca bmkg walaupun mau ada ujan badai tsunami aku akan tetap pertahaan cinta aku demi kamu teens yori,1
menjelang sore tadi saya mengunjungi villa so long dan pantai so long di kab banyuwangi jawa timur saya hendak melihat secara langsung persiapan prakondisi banyuwangi menuju tatanan baru di sektor pariwisata,0
" Gempa Mag:2.9, 04-Jun-21 20:46:27 WIB, Lok:2.54 LU, 98.78 BT (Pusat gempa berada di darat 12 km tenggara Samosir), Kedlmn:1 Km Dirasakan (MMI) II Samosir BMKG ",1
"Info Gempa Magnitudo:5.1, 14-Nov-19 17:21:39 WIB, Lok:8.16 LS,114.90 BT (21 km BaratDaya BULELENG-BALI), Kedlmn:10 Km, dirasakan di Buleleng III-IV MMI, Denpasar, Kuta, Jembrana &amp; Mataram III MMI, Lombok Barat &amp; Banyuwangi II MMI ::BMKG gempa gempabumi ",1
Awanpanas guguran Merapi tanggal 23 April 2021 pukul 21:12 WIB tercatat di seismogram dengan amplitudo 35 mm dan durasi 85 detik. Jarak luncur ?1000 m ke arah barat daya. MerapiSiaga sejak 5 November 2020,1
itu banjir apa mantan,0
nasabah bni diberikan waktu untuk menukar kartu debit magnetik menjadi kartu debit cip hingga april 2021,0
nah harusnya gitu transportasi publik disiapin kalo ada spesial occasion pertandingan bola acara khusus dll,0
" Gempa Magnitudo: 5.0, Kedalaman: 150 km, 03 Mar 2021 04:35:08 WIB, Koordinat: 6.19 LS-130.43 BT (220 km BaratLaut MALUKUTENGGARABRT), Tidak berpotensi tsunami BMKG ",1
jam berapa sih aku di luar nyender tembok mlu semalem harusnya klau ada dentuman knceng atau gempa kan lebih kerasa,0
lly semalem ada gempa berasa ga sih,0
"Info Gempa Magnitudo:4.1 SR, 14-Jul-19 20:41:08 WIB,Lok: 2.22 LS - 100.63 BT (67 km BaratLaut MUKOMUKO-BENGKULU), Kedlmn: 15 Km ::BMKG-KSI",1
di mana anda berada masih banjir apa mulai surut pagi ini,1
dan yang pasti tsunami bakalan ada sepanjang selatan pulau jawa,0
covid19 erupsi banjir longsor gempa kalo dengan semua ini belum buat kita sadar lalu harus dengan cara apa lagi allah negur semoga kita ada dalam lindungan allah aamiin,0
kenapa sih susah banget untuk focus nugas dirumah,0
hari buruh atau may day selalu menjadi momen untuk para pekerja menyampaikan sejumlah keresahan mereka,0
sejumlah santri penyandang disabilitas tampak tekun belajar membaca al quran memang butuh waktu tetapi hal itu tak surutkan semangat para santri,0
bismillahgerakan nasi bungkus untuk terdampak banjir bantulmohon dikumpulkan besok pagi sebelum jam wibdi masjid jogokariyan…,0
" Gempa Mag:4.3, 27-Apr-21 17:28:58 WIB, Lok:1.62 LS, 134.37 BT (Pusat gempa berada di laut 28 km tenggara Ransiki), Kedlmn:12 Km Dirasakan (MMI) II Ransiki BMKG ",1
silakan dengar celotehalis ya gaes link di bio komentar dibawah jika ada isu yg lupa kami komentarin dan jangan lupa kalian jg masih bisa ikutan giveaway geoinsight dipostingan sebelumnya kaledioskop banjir gempa celotehalis esdm energi ahok seismik pertamina,0
saya mengajukan diri pada produsernya tampaknya usai beberapa nama sutradara ngga berjodoh akhirnya skrip horor itu jatuh ke saya tapi membaca skripnya aja saya ngga berani malam malam saya terlalu takut dan tampaknya mood itu terasa,0
" Gempa Dirasakan Magnitudo: 4.8, Kedalaman: 5 km, 01 Jun 2021 05:01:26 WIB, Koordinat: 0.32 LU-100.05 BT (Pusat gempa berada di darat 4 km BaratDaya Panti, Pasaman), Dirasakan (MMI): II - III Payakumbuh BMKG ",1
ancaman covid 19 belum berakhir untuk kesekian kalinya saya mengingatkan masyarakat untuk disiplin mematuhi anjuran dan protokol kesehatan di tengah pandemi ikuti dan patuhi anjuran anjuran untuk gunakan masker sering cuci tangan jaga jarak aman dan hindari kerumunan,0
angkatan laut kita kemana ini luuur,1
" Gempa Mag:5.8, 07/01/2021 00:28:34 (Pusat gempa di laut 41 km Barat Daya Bengkulu), Kedlmn:31 Km Dirasakan (MMI) IV-V Kota Bengkulu, IV Manna, III-IV Kepahiang, III Lubuk Linggau, III Pagar Alam, III Lahat, II-III Pesisir Barat, II-III Liwa, BMKG",1
" Gempa Mag:4.2, 21/01/2021 12:42:34 (Pusat gempa di laut 20 km timur Bahodopi-Kab. Morowali), Kedlmn:10 Km Dirasakan (MMI) III Bahodopi, BMKG",1
"Update banjir di Kabupaten Bandung, Jawa Barat 26 Januari 2020, pukul 09.00 WIB. banjir Pusdalops infografis ",1
" Gempa Mag:2.9, 06-Mar-21 12:55:32 WIB, Lok:3.55 LS, 122.12 BT (Pusat gempa berada di darat 4,7 Km BaratDaya Labungga, Kab. Konawe Utara), Kedlmn:10 Km Dirasakan (MMI) II Konawe Utara BMKG ",1
pengen tau aja nhe semalem ada yg denger bunyi dum dum gua sih mikir akibat letusan anak krakatau tapi di beritakan bunyi dum dum itu bukan akibat dari letusan anak krakatau terus dum dum semalem asalnya dari mana dong sampe jabodetabek heboh jabodetabek krakatau gempa,0
" Gempa Mag:4.2, 29-Nov-20 00:32:38 WIB, Lok:0.58 LU, 120.45 BT (Pusat gempa berada di darat 39 km Barat Daya Parigi Moutong), Kedlmn:10 Km Dirasakan (MMI) II Parigi Moutong BMKG ",1
" Gempa Mag:3.4, 28/10/2020 00:00:13 (Pusat gempa di laut 46 km BaratDaya Kab. Sukabumi), Kedlmn:29 Km Dirasakan (MMI) II Pelabuhan Ratu, BMKG",1
" Gempa Mag:5.2, 03-Jun-21 09:31:37 WIB, Lok:4.71 LU, 126.17 BT (Pusat gempa berada dilaut 97km Barat Laut Melonguane), Kedlmn:51 Km Dirasakan (MMI) II Tahuna BMKG ",1
" Gempa Mag:3.6, 28/01/2021 01:43:25 (Pusat gempa di darat 13 km TimurLaut MAJENE-SULBAR), Kedlmn:13 Km Dirasakan (MMI) II Mamuju, II Majene, BMKG",1
" Gempa Dirasakan Magnitudo: 3.5, Kedalaman: 10 km, 11 Apr 2021 12:14:14 WIB, Koordinat: 4.56 LS-129.82 BT (Pusat gempa berada di laut 9 Km Barat Banda - Maluku Tengah), Dirasakan (MMI): II-III Banda BMKG ",1
" Gempa Dirasakan Magnitudo: 4.4, Kedalaman: 10 km, 13 Apr 2021 12:53:14 WIB, Koordinat: 4.93 LS-104.00 BT (Pusat gempa berada di darat 11 km Barat Laut Lampung Barat), Dirasakan (MMI): III Liwa, II Sekincau BMKG ",1
" Gempa Mag:5.4, 13/12/2020 15:39:52 (Pusat gempa di Laut 228 km BaratDaya Bantul), Kedlmn:22 Km Dirasakan (MMI) II-III Yogyakarta, II-III Bantul, II-III Sleman, BMKG",1
" Gempa Magnitudo: 7.2, Kedalaman: 19 km, 14 Mei 2021 13:33:07 WIB, Koordinat: 0.10 LU-96.53 BT (141 km BaratDaya NIASBARAT-SUMUT), Tidak berpotensi tsunami BMKG ",1
dayat setengah dua an ncang gw yg denger jelas kl gw malah ngimpi gempa itu abis anak gw bangun nangis bogor gmn yat,0
" Gempa Mag:5.3, 18-Mar-21 14:54:25 WIB, Lok:4.08 LS,134.02 BT (88 km Tenggara KAIMANA-PAPUABRT), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:5.5, 05-Dec-20 15:08:26 WIB, Lok:7.84 LS,128.34 BT (70 km TimurLaut MALUKUBRTDAYA), Kedalaman:10 Km, tidak berpotensi tsunami BMKG",1
"Info Gempa Magnitudo:5.3 SR, 24-Oct-15 04:20:07 WIB, Lok:2.06 LU,94.12 BT (228 km BaratDaya KAB-SIMEULUE-ACEH), Kedlmn:10 Km ::BMKG",1
bapak dr faisal rizal matondang sp p yang bertugas di rspi prof dr sulianti saroso sempat terpapar covid 19 dan dirawat begitu sembuh ia kembali bertugas menangani pasien covid 19 di rumah sakit itu simak perbincangan saya dengan dokter faisal,0
" Gempa Mag:5.4, 04-Jun-21 20:45:15 WIB, Lok:0.38 LU,126.28 BT (128 km BaratDaya TERNATE-MALUT), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
saya dan ibu negara mengikuti pemeriksaan kesehatan berkala termasuk uji swab covid 19 yang kami jalani kemarin sore alhamdulillah hasil tes swab kami negatif ayo jaga imunitas tubuh dengan berolahraga rutin selalu memakai masker rajin mencuci tangan dan jaga jarak,0
" Gempa Mag:4.5, 30-Jan-21 16:06:48 WIB, Lok:4.67 LU, 96.46 BT (Pusat gempa berada di darat 40 km Tenggara Kab. Pidie Jaya), Kedlmn:20 Km Dirasakan (MMI) II Takengon, II Bener Meriah BMKG ",1
"Sementara itu, banjir terjadi di wilayah Desa Lubuk Kembang Bunga, Kec. Ukui, Kab. Pelalawan. Banjir disebabkan oleh luapan Sungai Nilo dgn ketinggian air antara 50-180 cm. banjir ",0
tertarik baca tapi kok ga ada,0
" Gempa Dirasakan Magnitudo: 4.6, Kedalaman: 165 km, 07 Jun 2021 10:52:55 WIB, Koordinat: 0.31 LU-122.11 BT (Pusat gempa berada di laut 21 km Tenggara Paguat), Dirasakan (MMI): III Bone Bolango, II-III Gorontalo, II Telaga Biru BMKG ",1
saat ini tim dari fakultas kedokteran universitas padjajaran tengah melakukan uji klinis tahap ketiga terhadap bakal calon vaksin covid 19 itu setelah uji klinis dilakukan dan vaksin dinyatakan siap maka bio farma akan memproduksinya dalam jumlah besar,0
"Banjir terjadi di Kab. Boalemo, Prov. Gorontalo (27/6) dengan TMA 20 ? 60 cm. TRC BPBD Kab. Boalemo berkoordinasi dengan dinas PU untuk melakukan normalisasi anak sungai serta memberikan makanan siap saji kepada korban terdampak. InfoBencanaBNPB PusdalopsBNPB ",0
" Gempa Mag:3.2, 03/02/2021 01:50:33 (Pusat gempa di darat 12 km Timur Laut Tapanuli Utara), Kedlmn:10 Km Dirasakan (MMI) III Taruntung, BMKG",1
" Gempa Mag:5.0, 17-Mar-21 23:20:50 WIB, Lok:2.30 LU, 128.19 BT (Pusat gempa berada di laut 30 km barat laut Daruba), Kedlmn:73 Km Dirasakan (MMI) III Morotai, II-III Daruba, II-III Tobelo BMKG ",1
kenapa makin kesini makin takut bgt dengan kondisi yang seperti ini corona erupsi gunung karakatau gempa sering terjadi dentuman yang didenger dan ngak tau kenapa saya udah dua bulan terakhir sering bgt baca surat al waqiah hari kiamat dentuman karakatau covid19,0
" Gempa Magnitudo: 5.0, Kedalaman: 10 km, 14 Apr 2021 07:25:26 WIB, Koordinat: 0.18 LS-125.32 BT (130 km Tenggara TUTUYAN-BOLTIM-SULUT), Tidak berpotensi tsunami BMKG ",1
filmnya selesai syuting dan produser bilang editornya adalah wawan wibowo saya cek terakhir mas wawan ngedit film kartini gawat kan buat saya ini gawat mata dan moodnya abis ngerjain film besar maka saya datangi dia dgn bawa gorengan dan martabak,0
banjirkalsel prayforkalsel teman teman mohon doanya untuk suadara saudara kita di kalimantan selatan yang seluruh kabupaten saat ini dilanda musibah banjir semoga segera surut aamiin salam satu banua,0
" Gempa Dirasakan Magnitudo: 4.9, Kedalaman: 107 km, 21 Feb 2021 21:01:05 WIB, Koordinat: 8.86 LS-118.11 BT (Pusat gempa berada di darat 53 km BaratDaya Dompu), Dirasakan (MMI): III Dompu, III Bima BMKG ",1
"Banjir di Kab. Mandailing Natal, Prov. Sumatera Utara. Kronologis: Akibat hujan dengan intensitas tinggi disertai meluapnya beberapa anak sungai pada hari Kamis, 23 Juli 2020, Pkl. 03.00 WIB KenaliAncamannya SiapkanStrateginya PusdalopsBNPB SiapUntukSelamat ",1
"Awanpanas guguran terjadi di Gunung Merapi pada tanggal 20 Mei 2019 pukul 15:37 WIB. Awanpanas guguran tercatat di seismogram dengan amplitudo 65 mm dan durasi 118 detik, jarak luncur terpantau dari CCTV sejauh 1100 m ke arah hulu Kali Gendol. StatusWaspada sejak 21 Mei 2018 ",1
" Gempa Mag:3.7, 01-Mei-21 04:12:38 WIB, Lok:5.48 LU, 95.61 BT (Pusat gempa berada di darat 26 km timur laut Jantho-Aceh Besar), Kedlmn:2 Km Dirasakan (MMI) II-III Sabang BMKG ",1
" Gempa Mag:5.0, 16-Mar-21 13:05:51 WIB, Lok:2.68 LS,123.09 BT (123 km BaratDaya BANGGAILAUT-SULTENG), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
letusan gunung api itu salah satu cara melepaskan mengurangi energi besar gempa yang mungkin saja terjadi krakatau,0
